raw_addr,unit,dir,street_name,suffix,scrap
0000 S MORGAN,0000,S,MORGAN,,
00069 E 53ST,00069,E,53ST,,
000 N LOPEZ,000,N,LOPEZ,,
000 W ARAUJO,000,W,ARAUJO,,
00185 N MOHAWK,00185,N,MOHAWK,,
003  DISTRICT,003,,DISTRICT,,
005 W GRACE,005,W,GRACE,,
007TH  DISTRICT SOUTH PARKING LOT,,,,,007TH DISTRICT SOUTH PARKING LOT
00900 W BRYN MAWR,00900,W,BRYN MAWR,,
00 N 00,00,N,00,,
00  SHERIDAN,00,,SHERIDAN,,
01152 N MILWAUKEE,01152,N,MILWAUKEE,,
012 N ORLEANS,012,N,ORLEANS,,
01640 N LAWNDALE,01640,N,LAWNDALE,,
016 W 71ST,016,W,71ST,,
01725 W CENTRAL PARK,01725,W,CENTRAL PARK,,
01739 N CENTRAL,01739,N,CENTRAL,,
01900 S HARDING,01900,S,HARDING,,
01 E CHICAGO,01,E,,,CHICAGO
01 N LASALLE,01,N,LASALLE,,
01 N LASALLE ST,01,N,LASALLE,ST,
01 S ABERDEEN,01,S,ABERDEEN,,
01 S LOTUS,01,S,LOTUS,,
01 W BUCKINGHAM,01,W,BUCKINGHAM,,
02153 N MULLLIGAN,02153,N,MULLLIGAN,,
02338 N CLARK,02338,N,CLARK,,
02 N FRANKLIN,02,N,FRANKLIN,,
02 N LONG,02,N,LONG,,
02 W ELM,02,W,ELM,,
02 W ERIE,02,W,ERIE,,
02 W SUPERIOR,02,W,SUPERIOR,,
030 W ADDISON,030,W,ADDISON,,
0320 E ERIE,0320,E,ERIE,,
03521 N NATCHEZ,03521,N,NATCHEZ,,
03957 W FULLERTON,03957,W,FULLERTON,,
03 E 9TH ST,03,E,9TH,ST,
03 E GRAND,03,E,GRAND,,
03 W MADISON,03,W,MADISON,,
04042 W LAWRENCE,04042,W,LAWRENCE,,
04327 W 26 STREET,04327,W,26,STREET,
04630 N CENTRAL PARK,04630,N,CENTRAL PARK,,
04942 N SHERIDAN,04942,N,SHERIDAN,,
04958 W SCHOOL,04958,W,SCHOOL,,
04 N TALMAN,04,N,TALMAN,,
04 S FRANKLIN,04,S,FRANKLIN,,
04 W VAN BUREN,04,W,VAN BUREN,,
05646 N MASON,05646,N,MASON,,
05670 N ELSTON,05670,N,ELSTON,,
05 N CANAL,05,N,CANAL,,
05 N KARLOV,05,N,KARLOV,,
05 W PEARSON,05,W,PEARSON,,
06 E BELLBIEW,06,E,BELLBIEW,,
06 E MONROE,06,E,MONROE,,
06  MONROE,06,,MONROE,,
06 S CLARK,06,S,CLARK,,
0750 E 76TH STREET,0750,E,76TH,STREET,
07 W LAKE ST,07,W,LAKE,ST,
07 W MADISON,07,W,MADISON,,
08 E CHESTNUT,08,E,CHESTNUT,,
08 E VAN BUREN,08,E,VAN BUREN,,
08 W 16 STREET,08,W,16,STREET,
08 W LAKE,08,W,LAKE,,
08 W WABASH,08,W,WABASH,,
09 E GOETHE,09,E,GOETHE,,
09 E JACKSON,09,E,JACKSON,,
09 E SUPERIOR,09,E,SUPERIOR,,
09  MONROE,09,,MONROE,,
09 S CLARK,09,S,CLARK,,
09 W KINZIE,09,W,KINZIE,,
09 W WASHINGTON,09,W,WASHINGTON,,
0 E HOMAN,0,E,HOMAN,,
0 N BATES,0,N,BATES,,
0 N BELL,0,N,BELL,,
0 S GIANFRANCISCO,0,S,GIANFRANCISCO,,
0 W HUNT,0,W,HUNT,,
0 W MURRY,0,W,MURRY,,
10000 E O'HARE,10000,E,O'HARE,,
10000 N DAYTON,10000,N,DAYTON,,
10000 N OHARE,10000,N,OHARE,,
10000 N O'HARE,10000,N,O'HARE,,
10000  OHARE,10000,,OHARE,,
10000  O'HARE,10000,,O'HARE,,
10000  OHARE CUHA,10000,,OHARE CUHA,,
10000  OHARE CVHA LOT,10000,,OHARE CVHA LOT,,
10000  OHARE UT5,10000,,OHARE,,UT5
10000 S CALHOUN,10000,S,CALHOUN,,
10000 S YATES,10000,S,YATES,,
10000 W BELMONT AVE,10000,W,BELMONT,AVE,
10000 W OAHRE,10000,W,OAHRE,,
10000 W OHAFRE,10000,W,OHAFRE,,
10000 W OHARE,10000,W,OHARE,,
10000 W .OHARE,10000,W,OHARE,,
10000 W O HARE,10000,W,O HARE,,
10000 W O'HARE,10000,W,O'HARE,,
10000 W OHARE 5 LEVEL,10000,W,OHARE,,5 LEVEL
10000 W OHARE AIRPORT,10000,W,OHARE AIRPORT,,
10000 W OHARE - AIRPORT,10000,W,OHARE AIRPORT,,
10000 W OHARE-AIRPORT,10000,W,OHARE-AIRPORT,,
10000 W OHARE- AIRPORT,10000,W,OHARE- AIRPORT,,
10000 W OHARE B-LOT,10000,W,OHARE B-LOT,,
10000 W OHARE C LOT,10000,W,OHARE C LOT,,
10000 W OHARE COMROY,10000,W,OHARE COMROY,,
10000 W OHARE CUHA,10000,W,OHARE CUHA,,
10000 W OHARE CV HA LOT,10000,W,OHARE,CV,HA LOT
10000 W OHARE D-LOT,10000,W,OHARE D-LOT,,
10000 W OHARE ELOT,10000,W,OHARE ELOT,,
10000 W OHARE E LOT,10000,W,OHARE,,E LOT
10000 W OHARE F LOT,10000,W,OHARE F LOT,,
10000 W OHARE LEVEL 1,10000,W,OHARE,,LEVEL 1
10000 W OHARE LEVEL 3,10000,W,OHARE,,LEVEL 3
10000 W OHARE LEVEL 6,10000,W,OHARE,,LEVEL 6
10000 W .OHARE LEVEL N,10000,W,OHARE LEVEL,,N
10000 W OHARE LOT A,10000,W,OHARE LOT,,A
10000 W OHARE LT1,10000,W,OHARE,,LT1
10000 W OHARE LT2,10000,W,OHARE,,LT2
10000 W O'HARE LT3,10000,W,O'HARE,,LT3
10000 W OHARE LT5,10000,W,OHARE,,LT5
10000 W OHARE PKG,10000,W,OHARE PKG,,
10000 W OHARE PKG C,10000,W,OHARE PKG C,,
10000 W O'HARE PKGE,10000,W,O'HARE PKGE,,
10000 W OHARE PKGE,10000,W,OHARE PKGE,,
10000 W OHARE PKGG,10000,W,OHARE PKGG,,
10000 W OHARE PKG LOT,10000,W,OHARE PKG LOT,,
10000 W OHARE PKG MAIN,10000,W,OHARE PKG MAIN,,
10000 W OHARE T3H,10000,W,OHARE,,T3H
10000 W OHARE T 5 LEVEL,10000,W,OHARE T,,5 LEVEL
10000 W OHARE TERM,10000,W,OHARE TERM,,
10000 W OHARE (TERMINAL 5,10000,W,OHARE (TERMINAL,,5
10000 W OHARE UT,10000,W,OHARE,UT,
10000 W OHARE UT5,10000,W,OHARE,,UT5
10000 W OIHARE T5,10000,W,OIHARE,,T5
10000 W W OHARE UT,10000,W,W OHARE,UT,
10001 S EMERALD,10001,S,EMERALD,,
10001 S WOODLAWN,10001,S,WOODLAWN,,
1000  CATALPA,1000,,CATALPA,,
1000 E 52ND ST,1000,E,52ND,ST,
1000 E 53RD STREET,1000,E,53RD,STREET,
1000 E 54TH ST,1000,E,54TH,ST,
1000 E 56TH ST,1000,E,56TH,ST,
1000 E 71ST,1000,E,71ST,,
1000 E 83RD ST,1000,E,83RD,ST,
1000 E EIGHTY FIRST STREE,1000,E,EIGHTY FIRST STREE,,
1000 E HYDE PARK BLVD,1000,E,HYDE PARK,BLVD,
1000 E MIDWAY PLAISANCE,1000,E,MIDWAY PLAISANCE,,
1000  GRANVILLE,1000,,GRANVILLE,,
1000 N ARMITAGE,1000,N,ARMITAGE,,
1000 N CAMPBELL,1000,N,CAMPBELL,,
1000 N CROSBY,1000,N,CROSBY,,
1000 N DEARBORN,1000,N,DEARBORN,,
1000 N HALSTED ST,1000,N,HALSTED,ST,
1000 N LAKE SHORE DR,1000,N,LAKE SHORE,DR,
1000 N LAKESHORE DR,1000,N,LAKESHORE,DR,
1000 N LARAMIE,1000,N,LARAMIE,,
1000 N LARRABEE,1000,N,LARRABEE,,
1000 N LEAMINGTON,1000,N,LEAMINGTON,,
1000 N LOCKWOOD,1000,N,LOCKWOOD,,
1000 N ORLEANS,1000,N,ORLEANS,,
1000 N ORLEANS ST,1000,N,ORLEANS,ST,
1000 N PAULINA,1000,N,PAULINA,,
1000 N RUSH,1000,N,RUSH,,
1000  OHARE,1000,,OHARE,,
1000  O'HARE,1000,,O'HARE,,
1000 S CALIFORNIA,1000,S,CALIFORNIA,,
1000 S HERMITAGE,1000,S,HERMITAGE,,
1000 S LAFLIN ST,1000,S,LAFLIN,ST,
1000 S MAYFIELD,1000,S,MAYFIELD,,
1000 S NORMAL',1000,S,NORMAL',,
1000 S STATE,1000,S,STATE,,
1000 S WABASH,1000,S,WABASH,,
1000 S WESTERN,1000,S,WESTERN,,
1000 W 38TH PL,1000,W,38TH,PL,
1000 W 67TH ST,1000,W,67TH,ST,
1000 W ADAMS STREET,1000,W,ADAMS,STREET,
1000 W ALBION,1000,W,ALBION,,
1000 W ARGYLE,1000,W,ARGYLE,,
1000 W ARMITAGE,1000,W,ARMITAGE,,
1000 W AUGUSTA,1000,W,AUGUSTA,,
1000 W BELMONT AVE,1000,W,BELMONT,AVE,
1000 W CORNELIA,1000,W,CORNELIA,,
1000 W DIVERSEY,1000,W,DIVERSEY,,
1000 W FULLERTON,1000,W,FULLERTON,,
1000 W GEORGE ST,1000,W,GEORGE,ST,
1000 W GRANVILLE,1000,W,GRANVILLE,,
1000 W LASALLE,1000,W,LASALLE,,
1000 W LOYOLA,1000,W,LOYOLA,,
1000 W MADISON,1000,W,MADISON,,
1000 W MONROE,1000,W,MONROE,,
1000 W NORTH,1000,W,NORTH,,
1000 W NORTH AVE,1000,W,NORTH,AVE,
1000 W OHARE,1000,W,OHARE,,
1000 W O'HARE,1000,W,O'HARE,,
1000 W OHARE AIRPORT,1000,W,OHARE AIRPORT,,
1000 W OHARE C-LOT,1000,W,OHARE C-LOT,,
1000 W ORLEANS,1000,W,ORLEANS,,
1000 W ROSEMONT,1000,W,ROSEMONT,,
1000 W SHERIDAN,1000,W,SHERIDAN,,
1000 W WINONA,1000,W,WINONA,,
10011 S WALDEN PKWY,10011,S,WALDEN,PKWY,
10013 S YALE,10013,S,YALE,,
10015 S WALLACE,10015,S,WALLACE,,
10017 S GREEN,10017,S,GREEN,,
1001 E 53RD ST,1001,E,53RD,ST,
1001 E 54TH,1001,E,54TH,,
1001 E 56TH ST,1001,E,56TH,ST,
1001 E 57TH ST,1001,E,57TH,ST,
1001 N ADAMS,1001,N,ADAMS,,
1001 N CAMPBELL,1001,N,CAMPBELL,,
1001 N CLARK,1001,N,CLARK,,
1001 N CROSBY,1001,N,CROSBY,,
1001 N KARLOV,1001,N,KARLOV,,
1001 N KEYSTONE,1001,N,KEYSTONE,,
1001 N LARRABEE,1001,N,LARRABEE,,
1001 N LASALLE,1001,N,LASALLE,,
1001 N LEAMINGTON,1001,N,LEAMINGTON,,
1001 N MONITOR,1001,N,MONITOR,,
1001 N PAULINA,1001,N,PAULINA,,
1001 N RUSH,1001,N,RUSH,,
1001 N WELLS,1001,N,WELLS,,
1001 N WINCHESTER,1001,N,WINCHESTER,,
1001 S CLAREMONT,1001,S,CLAREMONT,,
1001 S CLINTON,1001,S,CLINTON,,
1001 S HERMITAGE,1001,S,HERMITAGE,,
1001 S MAY,1001,S,MAY,,
1001 S PAULINA,1001,S,PAULINA,,
1001 S WABASH,1001,S,WABASH,,
1001 S -WABASH,1001,S,WABASH,,
1001 W 102NDST,1001,W,102NDST,,
1001 W 48TH,1001,W,48TH,,
1001 W ADAMS,1001,W,ADAMS,,
1001 W AINSLIE,1001,W,AINSLIE,,
1001 W ARDMORE,1001,W,ARDMORE,,
1001 W ARGYLE,1001,W,ARGYLE,,
1001 W BELMONT AVE,1001,W,BELMONT,AVE,
1001 W BERWYN,1001,W,BERWYN,,
1001 W BYRON,1001,W,BYRON,,
1001 W CATALPA,1001,W,CATALPA,,
1001 W FULLERTON AVE,1001,W,FULLERTON,AVE,
1001 W LELAND,1001,W,LELAND,,
1001 W MADISON,1001,W,MADISON,,
1001 W ROSEMONT,1001,W,ROSEMONT,,
1001 W SCHOOL,1001,W,SCHOOL,,
1001 W WILSON,1001,W,WILSON,,
1001 W WISCONSIN,1001,W,WISCONSIN,,
1001 W WOLFRAM,1001,W,WOLFRAM,,
10024 S ABERDEEN,10024,S,ABERDEEN,,
10025 S EXCHANGE,10025,S,EXCHANGE,,
10026 S EBERHART,10026,S,EBERHART,,
10026 S MALTA,10026,S,MALTA,,
10027 S ARTESIAN,10027,S,ARTESIAN,,
1002 E WABASH,1002,E,WABASH,,
1002 N HERMITAGE,1002,N,HERMITAGE,,
1002 N KEYSTONE,1002,N,KEYSTONE,,
1002 N RUSH,1002,N,RUSH,,
1002 N SPRINGFIELD,1002,N,SPRINGFIELD,,
1002 N WELLS,1002,N,WELLS,,
1002 S PAULINA,1002,S,PAULINA,,
1002 S STATE,1002,S,STATE,,
1002 W ADDISON,1002,W,ADDISON,,
1002 W ARGYLE,1002,W,ARGYLE,,
1002 W ARMITAGE,1002,W,ARMITAGE,,
1002 W BARRY,1002,W,BARRY,,
1002 W BELMONT AVE,1002,W,BELMONT,AVE,
1002 W BYRON,1002,W,BYRON,,
1002 W CULLERTON,1002,W,CULLERTON,,
1002 W DIVERSEY,1002,W,DIVERSEY,,
