1,E 100TH PL,E,100TH,PL  ,  ,1,1199
2,W 100TH PL,W,100TH,PL  ,  ,300,2629
3,E 100TH ST,E,100TH,ST  ,  ,1,4001
4,W 100TH ST,W,100TH,ST  ,  ,1,2799
5,E 101ST PL,E,101ST,PL  ,  ,1,699
6,W 101ST PL,W,101ST,PL  ,  ,300,3999
7,E 101ST ST,E,101ST,ST  ,  ,1,3699
8,W 101ST ST,W,101ST,ST  ,  ,1,3999
9,E 102ND PL,E,102ND,PL  ,  ,1,699
10,W 102ND PL,W,102ND,PL  ,  ,300,3947
11,E 102ND ST,E,102ND,ST  ,  ,1,3898
12,W 102ND ST,W,102ND,ST  ,  ,1,3999
13,E 103RD PL,E,103RD,PL  ,  ,1,799
14,W 103RD PL,W,103RD,PL  ,  ,1,2651
15,E 103RD ST,E,103RD,ST  ,  ,1,3899
16,W 103RD ST,W,103RD,ST  ,  ,1,3999
17,E 104TH PL,E,104TH,PL  ,  ,100,799
18,W 104TH PL,W,104TH,PL  ,  ,1,3999
19,E 104TH ST,E,104TH,ST  ,  ,1,3951
20,W 104TH ST,W,104TH,ST  ,  ,1,3999
21,E 105TH PL,E,105TH,PL  ,  ,532,799
22,W 105TH PL,W,105TH,PL  ,  ,200,3599
23,E 105TH ST,E,105TH,ST  ,  ,1,3999
24,W 105TH ST,W,105TH,ST  ,  ,1,3999
25,W 106TH PL,W,106TH,PL  ,  ,1,2651
26,E 106TH ST,E,106TH,ST  ,  ,200,4099
27,W 106TH ST,W,106TH,ST  ,  ,200,3999
28,W 107TH PL,W,107TH,PL  ,  ,200,3910
29,E 107TH ST,E,107TH,ST  ,  ,1,4099
30,W 107TH ST,W,107TH,ST  ,  ,1,3999
31,W 108TH PL,W,108TH,PL  ,  ,1,3909
32,E 108TH ST,E,108TH,ST  ,  ,1,4099
33,W 108TH ST,W,108TH,ST  ,  ,1,3899
34,W 109TH PL,W,109TH,PL  ,  ,1,3899
35,E 109TH ST,E,109TH,ST  ,  ,1,4099
36,W 109TH ST,W,109TH,ST  ,  ,1,3999
37,E 110TH PL,E,110TH,PL  ,  ,1,3899
38,W 110TH PL,W,110TH,PL  ,  ,1,3899
39,E 110TH ST,E,110TH,ST  ,  ,1,4099
40,W 110TH ST,W,110TH,ST  ,  ,1,3999
41,E 111TH PL,E,111TH,PL  ,  ,1,599
42,W 111TH PL,W,111TH,PL  ,  ,1,2399
43,E 111TH ST,E,111TH,ST  ,  ,1,4099
44,W 111TH ST,W,111TH,ST  ,  ,1,4799
45,E 112TH PL,E,112TH,PL  ,  ,1,99
46,W 112TH PL,W,112TH,PL  ,  ,1,3799
