Code;Description;Fine
0912060;STAND, PARK, OR OTHER USE OF BUS LANE;$90.00
0912060B;STAND, PARK, OR OTHER USE OF BUS LANE;$90.00
0940060;PARK/STAND ON BICYCLE PATH;$150.00
0940080;PARKED/STANDING UNATTENDED W/MOTOR RUNNI;$75.00
0940170;UNSAFE CONDITION;$25.00
0940220;NO OPERATOR SIGNAL;$25.00
0964020A;WRONG DIRECTION OR 12'' FROM CURB;$25.00
0964020B;OBSTRUCT ROADWAY;$75.00
0964020C;PARK MOTORCYCLE/SCOOTER PARK AT 90 DEGREE ANGLE;$25.00
0964030;OUTSIDE DIAGONAL MARKINGS;$50.00
0964030A;OUTSIDE DIAGONAL MARKINGS;$50.00
0964030B;OUTSIDE DIAGONAL MARKINGS;$50.00
0964040B;STREET CLEANING;$60.00
0964041;SPECIAL EVENTS RESTRICTION;$60.00
0964041A;SPECIAL EVENTS RESTRICTION;$60.00
0964041B;SPECIAL EVENTS RESTRICTION;$60.00
0964050;DISABLED PARKING ZONE;$250.00
0964060;3-7 AM SNOW ROUTE;$60.00
0964060A;3-7 AM SNOW ROUTE;$60.00
0964060B;3-7 AM SNOW ROUTE;$60.00
0964070;SNOW ROUTE: 2'' OF SNOW OR MORE;$60.00
0964080A;RUSH HOUR PARKING;$100.00
0964080B;NO STANDING/PARKING TIME RESTRICTED;$100.00
0964090;RESIDENTIAL PARKING PERMIT;$75.00
0964090A;RESIDENTIAL PARKING PERMIT;$75.00
0964090B;RESIDENTIAL PARKING PERMIT;$75.00
0964090E;RESIDENTIAL PERMIT PARKING;$75.00
0964091;INDUSTRIAL PERMIT PARKING;$50.00
0964091A;INDUSTRIAL PERMIT PARKING;$50.00
0964091B;INDUSTRIAL PERMIT PARKING;$50.00
0964091C;INDUSTRIAL PERMIT PARKING;$50.00
0964091E;INDUSTRIAL PERMIT PARKING;$50.00
0964100A;WITHIN 15' OF FIRE HYDRANT;$150.00
0964100B;PARK IN FIRE LANE;$150.00
0964100C;BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE;$150.00
0964100D;DISABLED CURB CUT;$75.00
0964100E;UNDER FIRE ESCAPE;$100.00
0964100F;20' OF CROSSWALK;$60.00
0964100G;STOP SIGN OR TRAFFIC SIGNAL;$60.00
0964100H;THEATER ENTRANCE/EXIT;$100.00
0964110A;DOUBLE PARKING OR STANDING;$100.00
0964110B;PARK OR STAND WITHIN INTERSECTION;$75.00
0964110C;PARK OR STAND ON CROSSWALK;$60.00
0964110D;PARK OR STAND ON SIDEWALK;$60.00
0964110E;PARK OR STAND ON PARKWAY;$60.00
0964110F;PARK OR STAND ON BRIDGE;$75.00
0964110G;PARK OR STAND IN VIADUCT/UNDERPASS;$75.00
0964110H;PARK OR STAND ON OR WITHIN 10' RR TRACKS;$100.00
0964120;PARK OR STAND ON CITY PROPERTY;$50.00
0964120A;PARK OR STAND ON CITY PROPERTY;$50.00
